ambiguity,name,set_code,artist,discrepancy,correct_artists,correct_sets
283,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
284,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
285,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
286,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
287,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
288,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
289,bad moon,TSP,Jesper Myrfors,Set not found in dbgit ,"Gary Leach, Jesper Myrfors","leb, cei, 3ed, sum, ced, gvl, 30a, 5ed, fbb, plst, 2ed, ddd, lea, 4bb, tsb, 4ed, c14"
294,balduvian bear,ICE,Quinton Hoover,Name not found in db,,
295,balduvian trading post,ALL,Tom Wanerstrand,Artist not found in db,Tom Wänerstrand,"all, me2"
297,baleful strix,SLD,Allen Dougas,Artist not found in db,"Allen Douglas, Maxime Minard, Nils Hamm","afc, c13, sld, brc, c16, 2xm, ema, otc, dmc, mkc, pc2, e01, plst, pca, blc, vma"
300,baloth woodcrasher,ZEN,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"c13, zen, j22, cmd, plst, c18"
326,basri ket title card,JMP,KIERAN YANNER,Name not found in db,,
336,battle mastery,LRW,Z Boros and G Szikszai,Artist not found in db,"Zoltan Boros & Gabor Szikszai, Viktor Titov","bbd, m15, dtk, plst, lrw, ddl"
356,bellowing tanglewurm,SOM,JD,Artist not found in db,jD,"plst, som"
357,ben-ben akki hermit,CHK,Greg Staples,Name not found in db,,
359,benalish knight,10E,Z Boros and G Szikszai,Artist not found in db,"Zina Saunders, Zoltan Boros & Gabor Szikszai","wth, 10e, ath"
368,bird maiden,4ED,Phil Foglio,Artist not found in db,Kaja Foglio,"arn, ren, 5ed, 4bb, rin, 4ed, me4"
370,bird token,ZNE,Howard Lyon,Name not found in db,,
395,blightning,ALA,Thomas M Baxa,Artist not found in db,"Jim Pavelec, Dan Murayama Scott, Thomas M. Baxa","ps11, ddk, ala, p09, plst, prm, a25"
418,bloodfire colussus,10E,Greg Staples,Name not found in db,,
419,bloodfire colussus,9ED,Greg Staples,Name not found in db,,
420,bloodfire colussus,APC,Greg Staples,Name not found in db,,
448,bog wraith,6ED,Jeff A Menges,Artist not found in db,"Daarken, Ted Naifeh, Dave Dorman, Jeff A. Menges","itp, sum, 2ed, rqs, lea, s99, 3ed, m10, cei, 10e, leb, 9ed, 30a, por, 5ed, fbb, 4ed, 7ed, 8ed, ced, 6ed, plst, 4bb"
469,bosium strip,WTH,Steve Luke,Name not found in db,,
469,bosium strip,WTH,Steve Luke,Name not found in db,,
470,bosom budy,UNH,Dan Scott,Name not found in db,,
477,bounty of the hunt,ALL,Jeff A Menges,Artist not found in db,Jeff A. Menges,"all, cst, me2, wc97, dkm"
528,brion stoutarm,LRW,Z Boros and G Szikszai,Artist not found in db,"Lius Lasahido, Zoltan Boros & Gabor Szikszai","ps11, sld, pres, cmd, ocm1, prm, a25, lrw"
530,brooding saurian,CSP,RK Post,Artist not found in db,rk post,"c13, csp"
548,budoka gardener,CHK,Kev Walker,Name not found in db,,
560,burning inquiry,M10,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"plst, m10"
563,burning wish,TOR,Scott Fischer,Artist and set not found in db,"Scott M. Fischer, Ariel Olivetti","jud, g09, wc03, prm, vma, cn2"
564,burning wish,TOR,Scott Fischer,Artist and set not found in db,"Scott M. Fischer, Ariel Olivetti","jud, g09, wc03, prm, vma, cn2"
567,burst of speed,M10,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,m10
569,bushi tenderfoot,CHK,Mark Zug,Name not found in db,,
570,bygone bishop,SOI,Jason A Engle,Artist not found in db,Jason A. Engle,"voc, soi, sir, clb, psoi"
